name,city,state,url,website,buy_link,phone,email,type,notes,source,source_url,prices
Baby Needs Inc,Burlington,NC,https://textileconnect.com/directory/baby-needs-inc/,https://textileconnect.com/directory/baby-needs-inc/,https://textileconnect.com/directory/baby-needs-inc/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
Back Creek Canvas,Annapolis,MD,https://textileconnect.com/directory/back-creek-canvas/,https://textileconnect.com/directory/back-creek-canvas/,https://textileconnect.com/directory/back-creek-canvas/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
Back International LLC – Charlotte,Charlotte,NC,https://textileconnect.com/directory/back-international-llc-charlotte/,https://textileconnect.com/directory/back-international-llc-charlotte/,https://textileconnect.com/directory/back-international-llc-charlotte/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
Back International LLC- Pinehurst,Pinehurst,NC,https://textileconnect.com/directory/back-international-llc-pinehurst/,https://textileconnect.com/directory/back-international-llc-pinehurst/,https://textileconnect.com/directory/back-international-llc-pinehurst/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
Backyard Outfitters Inc,Lexington,SC,https://textileconnect.com/directory/backyard-outfitters-inc/,https://textileconnect.com/directory/backyard-outfitters-inc/,https://textileconnect.com/directory/backyard-outfitters-inc/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
Badger Sportswear Inc – Fairmont,Fairmont,NC,https://textileconnect.com/directory/badger-sportswear-inc-fairmont/,https://textileconnect.com/directory/badger-sportswear-inc-fairmont/,https://textileconnect.com/directory/badger-sportswear-inc-fairmont/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
Badger Sportswear Inc -Statesville,Statesville,NC,https://textileconnect.com/directory/badger-sportswear-inc-statesville/,https://textileconnect.com/directory/badger-sportswear-inc-statesville/,https://textileconnect.com/directory/badger-sportswear-inc-statesville/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
Bae Systems Land & Armament LP,Monroe,NC,https://textileconnect.com/directory/bae-systems-land-armament-lp/,https://textileconnect.com/directory/bae-systems-land-armament-lp/,https://textileconnect.com/directory/bae-systems-land-armament-lp/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
Bag Lady,Lugoff,SC,https://textileconnect.com/directory/bag-lady/,https://textileconnect.com/directory/bag-lady/,https://textileconnect.com/directory/bag-lady/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
Bahamia Rental,Nassau,,https://textileconnect.com/directory/bahamia-rental/,https://textileconnect.com/directory/bahamia-rental/,https://textileconnect.com/directory/bahamia-rental/,,,manufacturer,Textile Connect: apparel-and-product-manufacturing,Textile Connect,https://textileconnect.com/directory/,Contact for quote
